"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC008781.1",1.70657303533279,0.71517621317677,0.372339655697121,1.92076294381743,0.0547616001501716,0.150881739689619
"AL162384.1",1.94428930443166,-2.39088185263869,0.647286511900958,-3.6936994803385,0.00022101498201083,0.00207773000207043
"LINC02577",59.1600332727289,0.842351790905377,0.693238427274993,1.21509679464326,0.224329175974855,0.406648310962837
"AL450306.1",63.1640769745984,0.243395516435266,0.321254235460835,0.75764142404572,0.448665674430507,0.632153167385838
"LINC01672",1.64389683290656,1.00435943990105,0.664616372840804,1.51118672506978,0.130740883627497,0.282467517902172
"EIF4BP2",1.47994316678733,0.156489041911314,0.532727131713959,0.293750839023041,0.768948303242747,0.870084017577216
"LIMS1-AS1",2.70571295953369,-0.118251808526577,0.44226633477086,-0.267376915739796,0.789178971210604,0.882430839872047
"WEE2-AS1",61.0272776429913,-0.198589145029288,0.224913806519403,-0.882956667278477,0.377259684509281,0.568021563323735
"Z69666.1",2.34376372105877,-0.0380526179691273,0.333704084119471,-0.114031022633525,0.909213201327913,0.952456761739516
"MRPL45P2",64.193600845028,0.0643010680461933,0.159696339180639,0.40264584884103,0.687208775672183,0.816248653344939
"LINC00954",13.0244758858252,-1.5172225685923,0.441013141986416,-3.44031146500171,0.000581045098832411,0.00456085346833155
"NLGN4Y-AS1",1.94028766978105,-1.21891282327768,1.13983979009777,-1.06937205900938,0.284902052387379,0.474596694952687
"HCG22",1.04351616644362,-0.778552833740749,0.587581893552783,-1.32501161503339,0.185167298943012,0.359214748317472
"THRB-AS1",7.46655730515497,0.289451201901096,0.380586826536355,0.760539203459387,0.446932344851221,0.63057381017589
"AL356310.1",11.7372333985645,0.156638455239189,0.609846816505917,0.256848852858887,0.797295455665804,0.887026387847913
"AL033523.1",4.80654382292947,0.585883268382214,0.394200898130261,1.48625553914546,0.137211542059172,0.292269720786716
"LINC01128",467.628131540353,-0.299086946524195,0.15948652923438,-1.87531165146029,0.0607498613689939,0.162780184769322
"FAM207BP",10.8370614715575,0.782783394237685,0.234924385815957,3.33206530058113,0.000862040263699141,0.00624818008994428
"LINC01939",1.94214734490702,2.04495973531569,1.13861635621233,1.7960041801247,0.0724938522256441,0.185111006729307
"AC064807.1",245.704716927931,0.0163476968857234,0.175630795688692,0.0930798999208538,0.925840085641837,0.960681178456889
"AC073641.1",1.12418383837802,-0.115135000557709,0.433768200720537,-0.265429785693044,0.790678393128143,0.883057758654113
"MRPS18CP6",0.767489600514258,0.0555725310701918,0.469787252887159,0.118292973529318,0.905835524622002,0.95030821880715
"HMGB3P4",0.512454339691364,-0.156697162468406,0.788479284132402,-0.198733391760352,0.842471302133638,0.914501287226696
"AL034428.1",0.747597441175171,0.0183225644353922,0.525338186701645,0.0348776557638634,0.972177297888382,0.984279011435547
"LAMA5-AS1",6.255092736399,0.278924060564024,0.517013961026057,0.539490384380483,0.589548530057556,0.747625148729167
"AK3P5",0.633066438517776,0.846648827013276,0.523251389667294,1.61805366164744,0.105651033608172,0.242630882901016
"BACH1-IT2",3.25656470864753,-0.302107294966744,0.348661578578503,-0.866477161603062,0.386228545409105,0.576160948810801
"AL359918.1",4.11697881991355,0.4091188642807,0.245581179637461,1.66592108110508,0.0957291341720547,0.226323812224238
"MIR4500HG",2.66933832386926,0.0329961304210248,0.732902880763825,0.0450211498509004,0.96409045090168,0.980516709587332
"TLK2P2",1.92852106305028,0.274045177794345,0.337055183010304,0.813057302210266,0.416185205265299,0.60389741560206
"ATP5MFP2",4.33737967442809,-0.288594315063065,0.408598994381679,-0.706302068853073,0.480000307134695,0.660403779702209
"AC012123.1",2.81028437489507,3.14809099128001,0.741418527994273,4.24603765945315,2.17584075281399e-05,0.000307303698264984
"PIK3IP1-DT",7.64713554492361,-0.503152431242838,0.281141793809997,-1.78967496943156,0.0735061785847825,0.187000353950632
"AL358176.3",0.918300361427457,0.241684328560554,0.448728706646396,0.538597876580702,0.590164353060506,0.748109263824501
"ATP5MC2P4",2.99762552076704,-0.0719180301152777,0.26683095805594,-0.269526559583841,0.787524506571741,0.88153731796232
"RPS20P13",4.58977829715037,-0.0933438561311584,0.458378168274372,-0.20363940211761,0.838635299824853,0.912071595512061
"AC092802.2",6.09566290579693,-0.679929272917051,0.235113194440056,-2.89192307788751,0.00382891680032624,0.0202964621252815
"AC104653.1",17.8524682825066,-0.0229444856272,0.33492735728892,-0.0685058569503693,0.945382957859201,0.97136268501592
"RPL23AP12",0.7070614385638,-0.728790636420845,0.489290128609971,-1.48948567282825,0.136359523330866,0.291226749659841
"AC068389.1",1.34454009101327,0.0373068934591193,0.367866853176662,0.101414120725912,0.919221727547243,0.957522632861711
"AL121985.1",0.80070848171165,-1.65451072954282,0.525613586935389,-3.14777009321527,0.00164521035690626,0.0104189277839826
"AC012307.1",3.91714268876131,-0.691922569331187,0.723879872690558,-0.955852753246764,0.33914663187354,0.531403372496702
"AC090954.1",6.40022315585096,2.29496230936388,0.556188806297783,4.12622886936557,3.68760292216992e-05,0.000474264310247849
"SEPTIN7-DT",88.7559610977846,-0.0479023809840513,0.184001302630627,-0.260337184026424,0.794603692459252,0.885430898428555
"AL138963.1",0.754089124083918,-0.097713708151839,0.489913711618402,-0.199450853965788,0.841910083774952,0.914325550377821
"EEF1DP1",19.3923719263384,0.318090123389704,0.193830175983854,1.64107637923313,0.100781561282625,0.234615829042142
"UBAC2-AS1",32.029554678685,-0.207673220393939,0.230409879798509,-0.901320813914518,0.367417770310164,0.55813081608593
"AC012441.2",2.16502987794109,-0.24129593654113,0.356103166102358,-0.677601210857451,0.498024578161953,0.676223260000674
"RASA4CP",125.765689068455,0.760386535796645,0.275379806506626,2.76122837561202,0.00575843942042059,0.0278171204959476
"AL353804.1",14.9182373341099,-0.220403543794815,0.21635726858507,-1.01870182238945,0.308344547156867,0.49993731105653
"OR7E128P",3.26950938056734,0.0293170879986484,0.320722613518771,0.0914094820973154,0.927167227670409,0.961573767012054
"AC097381.1",0.599755551209434,0.101416548231013,0.698131375314357,0.14526857238775,0.884498827081551,0.937445281364376
"AC016722.2",11.6509966552833,-0.182504921971101,0.256731822027419,-0.71087767978996,0.477160038504066,0.657821644242362
"RPS13P2",39.4289258161281,0.0193856653048051,0.184577300326098,0.105027353149905,0.916354104073188,0.95613755119578
"MTCO1P3",2.90018634132334,-1.16818414012012,0.49700816762858,-2.35043248020244,0.0187516093893594,0.0687510325335921
"AC107419.1",41.5694267216808,0.734923877293539,0.352408517691962,2.08543165218252,0.0370301362073031,0.113819308584947
"SNRPD2P1",0.826441088623849,0.229723286972584,0.44321550756777,0.518310580406435,0.604241592059339,0.758071837659672
"AC023137.1",6.22191893591938,0.0392216340365042,0.408451492459289,0.0960251945716993,0.923500562646688,0.959569240336672
"AL591623.2",1.04978434614712,-0.0990761958486314,0.454380992812662,-0.218046523546991,0.827392862847932,0.904986727495684
"SATB1-AS1",4.27582314917577,-2.40432135467546,0.498008185208737,-4.82787517572168,1.37997542335015e-06,3.0414842942734e-05
"OR2A9P",2.96157119811672,-0.463761001110779,0.573172116776918,-0.809112982883076,0.418450161123545,0.606009705037834
"LINC01690",1.15571481518163,-0.867621926600932,0.665267942422448,-1.30416914941317,0.192175916082154,0.367552897137557
"HOMER2P1",1.37804467263192,1.47090434046575,0.847265626520474,1.73606044482935,0.0825531474434861,0.20343476241589
"UBTFL6",5.24246761386574,-0.560510768630874,0.304755091881254,-1.83921707483487,0.0658832642212722,0.172769881105525
"AC009955.1",0.681047258447397,0.624935581373161,0.701341571948111,0.891057376846038,0.372898389670923,0.563795459419373
"AC006483.1",1.4971436573084,-1.19966310664272,0.47941223861772,-2.50236228866766,0.012336760973975,0.0499679034936768
"PPIAP55",2.39187591737748,0.658401467280425,0.285943748513636,2.30255590724701,0.0213038424226361,0.0755447274887925
"AC097658.1",10.8809418751175,-0.102197546409395,0.229726668389208,-0.444865836108545,0.656416713116482,0.794678191070429
"SLC47A1P1",41.8609090709482,1.14759653005457,0.378829886635176,3.02931888570804,0.00245105817603228,0.0143271894447869
"AC234781.3",0.870765418967331,-0.970031136256201,0.490073646544561,-1.97935788446441,0.0477757267007158,0.136626470646466
"RPL5P32",0.739530032977299,-0.480489991487007,0.552061027123397,-0.870356659644455,0.38410552392504,0.574397613385226
"AC091167.1",6.48445215675642,-0.0288301719026228,0.306605596492285,-0.0940301554585232,0.925085202261716,0.960576984240753
"ACTBP14",0.667028471619244,-0.343126798126865,0.496067098414292,-0.691694327690125,0.489129309919949,0.668691841418235
"EXOSC3P1",1.35228981204594,-0.276661777436596,0.421636353788336,-0.656162057542793,0.511719858883094,0.687720035076255
"AL450472.1",3.19373634387535,0.125871828386762,0.382904551111988,0.328728995310239,0.742360536156869,0.852529613354553
"LINC01277",9.54769968800802,0.619453427697423,0.248647873114424,2.4912878599704,0.012728095076359,0.0511639298238415
"AL161457.1",4.27198169367731,1.77025584658146,0.411751668390154,4.29932889768903,1.71316077573973e-05,0.000251441637241088
"AKR7A2P1",2.24980901408645,0.669929629146884,0.426805202214203,1.5696379183557,0.116499371727026,0.260053810609411
"AL365366.1",4.67358836936464,0.237767833226045,0.187850176342359,1.2657312218473,0.205609326299631,0.384387364628246
"RAB1AP1",1.15321282415113,0.18267941652735,0.460832280106823,0.396411936431632,0.691801161831195,0.819131540842148
"CDCA4P1",0.891294939953477,-0.337198187541328,0.542437214103387,-0.621635423924029,0.534181622455701,0.706141557406538
"MTCO1P25",0.870596727325828,-0.564337988518596,0.579794392466952,-0.973341577377817,0.330383564757541,0.522994881516261
"VDAC1P8",109.644950622661,-0.174333662879687,0.165251622597434,-1.05495885692074,0.291444141987578,0.481913207130562
"MRPL32P2",5.83742060006315,0.421118579747961,0.233502967908572,1.80348277163162,0.0713124287475447,0.182930675533795
"ZFAND2A-DT",215.070147685015,0.0312510766851704,0.163421532139916,0.191229859835204,0.848345510509597,0.917815358920779
"DUTP1",0.977982420576095,1.4567072554359,0.539355430313549,2.70082986758669,0.00691667097861532,0.0320856411017
"LINC01788",1.02841903396329,-1.67089718844604,0.93400529961568,-1.78895900176752,0.0736214184869055,0.187177911970952
"AL449283.1",0.902477042259233,-0.132623009661776,0.472368731241837,-0.280761618816545,0.778893243704413,0.876221658588611
"HECW2-AS1",20.0223232005451,1.97193485746218,0.443194147621219,4.44937025465308,8.61224373423322e-06,0.000142599714091952
"TMPOP1",1.92011913365164,-0.472601821548181,0.475996081933984,-0.992869142174422,0.32077372942912,0.513481071934003
"LINC01165",3.25962703696933,0.548671111226153,0.562525175481777,0.975371654710817,0.329375938707769,0.521956673264254
