"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"SRSF5","212266_s_at","SRSF5",0.120707963966124,1.59148159331154,0.0663926537022057,3.94081620021212,0.0432474362114816,33,0.391275155584743
"HCRTR1","207619_at","HCRTR1",0.120763798783934,1.59123376472989,0.0468771431580883,2.01774814063636,0.0305400054404383,33,0.391359320554505
"GALNTL6-AS1","1562595_at","GALNTL6-AS1",0.120784626984424,-1.59114134059926,-0.0398406413419119,2.06877992606061,0.0259573002399608,33,0.391359320554505
"C18orf15","1553435_at","C18orf15",0.120790145094294,-1.59111685643639,-0.0505331559999997,2.34281653712121,0.0329242814055152,33,0.391359320554505
"HSD17B4","1563696_at","HSD17B4",0.120825700149852,-1.59095911857585,-0.0335584139044118,2.10125496460606,0.0218667563221395,33,0.391400380582724
"LCN2","212531_at","LCN2",0.120840299449241,-1.59089436064879,-0.243042691014705,2.63529362472727,0.158373743357448,33,0.391400380582724
"NCKAP1L","217549_at","NCKAP1L",0.120939920600803,-1.5904526429366,-0.132875953132352,2.29327278066667,0.0866099144822642,33,0.391547818026281
"FAM239B|FAM239A","238717_at","FAM239B|FAM239A",0.120954344817825,1.59038871095816,0.145903330904412,2.29738864560606,0.0951051164311446,33,0.391547818026281
"CNTNAP5","1553418_a_at","CNTNAP5",0.12095588526828,-1.5903818836389,-0.0478692785955879,2.11426076672727,0.0312030769271164,33,0.391547818026281
"MEP1A","206000_at","MEP1A",0.120973644164916,-1.59030318084497,-0.0439374423272061,2.06993614757576,0.0286415689139145,33,0.391547818026281
"ARF5","201526_at","ARF5",0.120979558042786,-1.59027697417724,-0.0624759588419126,3.42003591345455,0.0407269716689814,33,0.391547818026281
"ZNF445","229766_at","ZNF445",0.121029071010067,1.59005760422832,0.071167969808823,2.58280688272727,0.0463995403202058,33,0.391616699922068
"ADAM8","205180_s_at","ADAM8",0.121038343212686,1.5900165313715,0.123558171194853,2.35431449278788,0.0805585779104563,33,0.391616699922068
"GHRLOS","239617_at","GHRLOS",0.121078335218895,1.5898394091748,0.0455838380625009,2.16147862218182,0.0297234755636362,33,0.391685413730888
"RAMP3","205326_at","RAMP3",0.121098239585175,-1.58975127174367,-0.191480124926471,2.40203835127273,0.124863780588786,33,0.391689133302833
"AVP","207848_at","AVP",0.121147736140682,-1.58953215006055,-0.056813228132353,2.23997384069697,0.0370528918954902,33,0.391702652222743
"MYO18B","1554579_a_at","MYO18B",0.121157844516186,1.58948740918737,0.0742930568161766,2.24251095490909,0.0484543860347727,33,0.391702652222743
"VPS50","226031_at","VPS50",0.121192410312505,-1.58933443989653,-0.0816203074191182,3.42111072809091,0.0532383872544282,33,0.391702652222743
