"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"LIPC-AS1","16809876","LIPC-AS1",0.76559480403357,-0.299948965623473,-0.0226865002567282,1.94024755454545,0.0777198468464009,44,0.888293678613496
"DNAAF11","17081323","DNAAF11",0.76569848512299,0.299812158532971,0.0566033890434783,5.24039435618182,0.194001457994537,44,0.888319799843867
"LINC00898","16936162","LINC00898",0.765722351079006,-0.299780668239208,-0.021976746904762,3.55482234093182,0.0753306272423789,44,0.888319799843867
"PITRM1","16711205","PITRM1",0.765745748815713,-0.299749796038831,-0.0476627231677016,7.46288076013636,0.163392363812377,44,0.888319799843867
"TEX35","16674240","TEX35",0.765753125121487,-0.299740063414734,-0.0286554639047618,3.23945969840909,0.0982368547289078,44,0.888319799843867
"ABHD17A","16866821","ABHD17A",0.76587611554675,0.299577788674563,0.0243278215672902,5.68887235829545,0.0834459784556872,44,0.888356191340949
"ZNF774","16804791","ZNF774",0.765878182389617,-0.299575061731139,-0.0479099974016561,4.38914068034091,0.164335840412429,44,0.888356191340949
"PRAG1","17074449","PRAG1",0.765886355606092,0.29956427820557,0.023282982076605,4.39830814934091,0.0798657142253771,44,0.888356191340949
"CDH18-AS1","16983498","CDH18-AS1",0.765927511183628,-0.299509979165427,-0.0203402933043484,3.28868204395455,0.0697842980712336,44,0.888364544844775
"VSX2","16786446","VSX2",0.766089321329671,-0.299296501994662,-0.0186778462339556,3.44513983656818,0.0641264140667131,44,0.888507808988147
"PPP1R35","17060585","PPP1R35",0.766118948584796,0.299257416072986,0.0617133647701857,6.060028508,0.211907391000748,44,0.888507808988147
"RYK","16959412","RYK",0.766219576659578,0.299124665405443,0.0418348822484464,6.82446699304545,0.143713685005689,44,0.888527394001276
"OR6W1P","17063922","OR6W1P",0.766221129977099,-0.299122616278531,-0.0289223758612831,3.13350157525,0.0993565528324119,44,0.888527394001276
"ANKRD44-AS1","16889103","ANKRD44-AS1",0.766237715595887,0.299100736712196,0.0279913828198768,3.18610856377273,0.0961653621413466,44,0.888527394001276
"GNGT2","16846378","GNGT2",0.766281196185018,-0.299043378289442,-0.0238668652629399,2.43728687413636,0.0820111669135692,44,0.888538433654708
"LINC02396","16764481","LINC02396",0.766453728228187,-0.298815788552908,-0.0261467569979295,2.7734031375,0.0899137457289546,44,0.888673248924909
"SEMA3A","17059323","SEMA3A",0.766465392724335,-0.298800402302219,-0.0421623440144931,2.43916537956818,0.144995782442047,44,0.888673248924909
"TMEM139","17052767","TMEM139",0.766562225266672,-0.298672676487127,-0.0541617941904748,3.76108831622727,0.186341397861405,44,0.888746136477033
"UNKL","16822661","UNKL",0.766732582607762,-0.298447980722426,-0.0235725475879907,4.34393212125,0.0811614274358564,44,0.888900139378423
"TCL1A","16796451","TCL1A",0.76679587395548,-0.298364505420332,-0.0222429141884062,3.26859460679545,0.0766048612208591,44,0.888900139378423
"DHRS4L1|DHRS4","16782452","DHRS4L1|DHRS4",0.766796978511352,0.298363048634428,0.0191273662339544,1.86262131679545,0.0658751986218979,44,0.888900139378423
"OR2H1","17027260","OR2H1",0.7669221124631,-0.298198015100576,-0.014096413718427,2.10810373786364,0.0485753221410547,44,0.889005810574833
"LINC01547","16926498","LINC01547",0.76698824325528,-0.298110801523403,-0.0223946330351952,4.28819625545455,0.0771930211402162,44,0.889043079768348
"USP20","17090121","USP20",0.767275587986106,-0.297731876890372,-0.034244804807452,5.05101570586364,0.118190116357668,44,0.889336751165928
"ERI3","16686233","ERI3",0.767323347636797,-0.297668899945754,-0.0234699882380953,5.01347838629545,0.0810198080178072,44,0.889352709646901
"NOP2","16760437","NOP2",0.7673855753653,0.297586846876699,0.0318438781262946,5.17275935561364,0.109957288457122,44,0.889384535390334
"SYT1","16754536","SYT1",0.76743049728489,-0.29752761440259,-0.0353452583602487,2.76334416663636,0.122071893402351,44,0.889384535390334
"RTL3","17112357","RTL3",0.76748068833161,0.297461435501084,0.0175571994223604,4.07292787911364,0.0606507775483841,44,0.889384535390334
"MIR4516","16814986","MIR4516",0.767486777252827,0.297453407105456,0.0283947432111793,6.04860497925,0.0980913695027952,44,0.889384535390334
"SPINK7","16990787","SPINK7",0.767521573568591,-0.297407527663998,-0.0489350059627323,3.01023164836364,0.169075036227387,44,0.889385466621579
"ANKRD20A19P","16777441","ANKRD20A19P",0.767669151751275,-0.297212950810072,-0.0272969401428558,4.15633769106818,0.0943752332931127,44,0.889517080886641
"SEC62","16947829","SEC62",0.76773836306501,-0.297121701983009,-0.0283034729026896,7.31797838318182,0.0978852273609224,44,0.889557881902171
"IDI1","16711125","IDI1",0.76784783515363,-0.296977378135884,-0.0908285101325035,6.11204863913636,0.314275569480658,44,0.88964532632006
"KRT14","16844804","KRT14",0.767920287825326,0.296881862753672,0.0368895248530023,4.20965841390909,0.127682446479861,44,0.889651812130246
"LOC101928525","17099742","LOC101928525",0.767921438814764,0.29688034541031,0.040132239627332,7.55534134545455,0.138906877988837,44,0.889651812130246
"EIF3E","17080116","EIF3E",0.767975348607941,-0.296809277192773,-0.0321972466231877,7.27697657875,0.11146873259227,44,0.889674873631975
"SLC6A18","16982717","SLC6A18",0.768026661382789,0.296741633993897,0.0244048262753624,3.83855118461364,0.0845101820051856,44,0.889686019163166
"HMMR","16991859","HMMR",0.768052977940622,0.296706942660492,0.0888895762360251,4.98096786804545,0.307847001329963,44,0.889686019163166
"ZNF486","16860123","ZNF486",0.768224556313435,-0.296480771455857,-0.0545260401055883,4.86935857047727,0.188981471783976,44,0.889826205026941
"DHX30","16940403","DHX30",0.768242017480261,-0.296457755359992,-0.0267451526894398,5.13132625070455,0.0927030591676987,44,0.889826205026941
"ATP5F1B","16766260","ATP5F1B",0.768280913391762,-0.296406486050188,-0.028798054679088,11.3576666652273,0.0998360177332779,44,0.889831864452504
"APMAP","16918011","APMAP",0.768363315045009,-0.296297873766577,-0.0520093680062113,7.35268808147727,0.180370222814961,44,0.889887910001222
"LINC02547","16722072","LINC02547",0.768425812678372,0.296215499026904,0.0262748478571435,2.60798853770455,0.0911473888468292,44,0.889911402418166
"FGF7","16800921","FGF7",0.76845162493631,0.296181477888559,0.0695025514824015,2.86749400913636,0.241131891331875,44,0.889911402418166
"OR2W3","16679753","OR2W3",0.768611228413828,-0.295971124669161,-0.0158958795155266,4.67353927368182,0.0551883004356555,44,0.89005683722313
"THAP2","16754166","THAP2",0.768746910954639,-0.295792309127178,-0.0279366644513441,4.84573476277273,0.0970508791920187,44,0.890165525635107
"DHRS4L1|DHRS4L2","16782434","DHRS4L1|DHRS4L2",0.768773131679058,0.295757754039614,0.0303820869627325,5.65783339288636,0.105558512881857,44,0.890165525635107
"ALDH1A1","17094893","ALDH1A1",0.768834773870061,0.295676520048257,0.119830732064183,5.94109522052273,0.416450295556583,44,0.89019750513503
"PJVK","16888157","PJVK",0.768882752525625,-0.29561329366536,-0.0279710681283651,3.53817808831818,0.0972292399989448,44,0.890213662141802
"C9orf57","17094865","C9orf57",0.768932166326715,-0.2955481773046,-0.01972987436646,1.88182605329545,0.0685974283582821,44,0.890231479258912
"OVAAL","16674552","OVAAL",0.768999978453173,0.295458818138505,0.0237414819917183,2.89643050722727,0.0825700730921805,44,0.890270594524284
"CYP2A7","16872528","CYP2A7",0.769077238680605,-0.295357011707263,-0.0220130428799186,5.75731415275,0.0765851547962221,44,0.890301511547082
"OPCML","16746290","OPCML",0.769121581852044,-0.295298581759606,-0.0212821877080733,4.17290201620455,0.0740571011849434,44,0.890301511547082
"MIR519C|MIR518E|MIR519A1|MIR519A2|MIR519B|MIR522|MIR523","16865094","MIR519C|MIR518E|MIR519A1|MIR519A2|MIR519B|MIR522|MIR523",0.769211618125115,0.295179946257292,0.0235003047867495,1.52350364518182,0.08180850303719,44,0.890301511547082
"THTPA","16782355","THTPA",0.769221560654982,-0.295166845830261,-0.0300815226314688,5.06211710447727,0.10472347407426,44,0.890301511547082
"RAVER2","16665656","RAVER2",0.769235059326636,0.29514905985999,0.0321117192339573,5.75536178122727,0.111797979329298,44,0.890301511547082
"LINC01298","17079333","LINC01298",0.769245649345817,-0.29513510642286,-0.0169040818592148,3.03419684977273,0.0588548849944894,44,0.890301511547082
"CCDC182","16846950","CCDC182",0.769291469328976,0.29507473456803,0.017134034327122,2.11146671527273,0.0596677151583022,44,0.890301511547082
"MIR1297","16779525","MIR1297",0.769325706255411,0.295029625124663,0.0170881002401655,1.25448518227273,0.0595168524982922,44,0.890301511547082
"NADSYN1","16728442","NADSYN1",0.769332933594556,0.295020102699632,0.0305264583126306,4.55198519620455,0.10632529851958,44,0.890301511547082
"SERF2|HYPK|SERF2-C15ORF63","16800322","SERF2|HYPK|SERF2-C15ORF63",0.769375629515133,0.294963848984351,0.0295554858343685,5.50155736940909,0.102962981810076,44,0.890311542265985
"LOC105374820","16881941","LOC105374820",0.769535800884074,-0.29475282478856,-0.0231590807018631,2.46683143947727,0.080737470808677,44,0.890378936143547
"FA2H","16828357","FA2H",0.769543098250774,-0.294743210899054,-0.0330747739047617,4.53021304954545,0.115309442929084,44,0.890378936143547
"OSBPL5","16734570","OSBPL5",0.769559787509799,0.294721223799256,0.0183161157763969,4.75156001381818,0.063860713789971,44,0.890378936143547
"CPS1","16890347","CPS1",0.769569991666037,-0.294707780505809,-0.063094576157348,3.45469729509091,0.219994703925818,44,0.890378936143547
"NPR2","17084767","NPR2",0.769689313674619,-0.294550585770942,-0.0533811112380933,5.01561200254545,0.186225659017947,44,0.890402903728876
"VANGL2","16672635","VANGL2",0.769695207691584,0.29454282118939,0.0207580449026921,4.04097414681818,0.072418546697277,44,0.890402903728876
"RASGEF1B","16977309","RASGEF1B",0.769731090698472,-0.294495550502661,-0.0412306446376816,4.44136692890909,0.14386435000055,44,0.890402903728876
"HRG","16949334","HRG",0.769794639746294,-0.294411835444081,-0.0283571661159421,2.14731279022727,0.0989735989805516,44,0.890402903728876
"CARNMT1","17095003","CARNMT1",0.769850171152499,0.294338683987636,0.0516311620351972,5.77861168361364,0.180250449376979,44,0.890402903728876
"GPSM1","17091219","GPSM1",0.769850332458317,0.294338471502012,0.0185810118012402,5.17380953290909,0.0648685408748515,44,0.890402903728876
"ZNF747","16825819","ZNF747",0.769878064981277,-0.294301940085924,-0.0191411603105589,5.76298705504545,0.0668323813166441,44,0.890402903728876
"LINC01337","16997659","LINC01337",0.769899074106269,-0.294274265514451,-0.0254762806231867,2.87428487497727,0.0889601568412251,44,0.890402903728876
"CFAP251","16758204","CFAP251",0.769902734827372,-0.294269443400554,-0.03019121252381,3.61353323634091,0.105425868587171,44,0.890402903728876
"MRPS10","17019208","MRPS10",0.769931023313029,-0.294232180403931,-0.0374670348157329,7.84020449045455,0.130849164547066,44,0.890402903728876
"EEIG2","16668002","EEIG2",0.770000482356329,0.29414068727445,0.0639190327039332,4.08803728054545,0.223299058310739,44,0.89044387272358
"SNORA5A","17057460","SNORA5A",0.770098762751807,0.294011234255249,0.0452513406397532,10.3227810030227,0.158153688619662,44,0.890469141986288
"C1orf146","16667130","C1orf146",0.770109488426232,-0.293997106910446,-0.0186721677805386,1.55803114513636,0.0652624667083504,44,0.890469141986288
"LINC01347|LOC729218|GTF2IP20|LOC100288069|GTF2IP12","17120378","LINC01347|LOC729218|GTF2IP20|LOC100288069|GTF2IP12",0.770143271623935,0.293952609691189,0.0302989283519661,6.28745386913636,0.105916043246658,44,0.890469141986288
"NTRK3","16812942","NTRK3",0.770158470188339,0.293932591239532,0.0230708949399587,3.82381613718182,0.0806544805519105,44,0.890469141986288
"SNORD115-10|SNORD115-19|SNORD115-12|SNORD115-9|SNORD115-5|SNORD115-17|SNORD115-4|SNORD115-14|SNORD115-18","16798307","SNORD115-10|SNORD115-19|SNORD115-12|SNORD115-9|SNORD115-5|SNORD115-17|SNORD115-4|SNORD115-14|SNORD115-18",0.770400668434136,-0.293613601407003,-0.0166249540600412,1.36505857329545,0.0581829964907028,44,0.89068394825414
"CTIF","16852274","CTIF",0.770412338822024,-0.293598231565757,-0.0513820394968949,6.15804918034091,0.179833130136098,44,0.89068394825414
"SPHKAP","16909277","SPHKAP",0.770479382421978,-0.29350993685776,-0.0354386777349891,2.66881122759091,0.124069919578194,44,0.890722099756479
"AMPH","17056861","AMPH",0.770578008803546,0.293380052676157,0.0417157980393377,2.88147421938636,0.146110616865745,44,0.890796194171672
"NPC1","16854268","NPC1",0.770620406312485,-0.293324219616107,-0.0653668495341622,7.74181399515909,0.228992590595284,44,0.890796194171672
"BRD10","17092233","BRD10",0.77064561439672,0.293291023662698,0.0346633143602482,6.72481441263636,0.121445971886379,44,0.890796194171672
"LINC00462","16779056","LINC00462",0.770723631157711,-0.293188287251903,-0.0167140827060039,1.77726460375,0.0585797792433566,44,0.890809701213947
"KCNA5","16747137","KCNA5",0.770725393914544,-0.293185966001162,-0.0249658773126278,4.04258487713636,0.0875014911903436,44,0.890809701213947
"KAT2B","16938271","KAT2B",0.770774142514313,-0.293121773030436,-0.0504659523768112,6.02529006968182,0.176913997124474,44,0.890826692496885
"PPP1R14B","16739859","PPP1R14B",0.770852487928797,-0.293018609061088,-0.0237625191614894,4.45024981002273,0.0833314766980557,44,0.890877887458326
"ANKRD42-DT","16742840","ANKRD42-DT",0.770981363121151,0.29284891522156,0.0467195979668746,5.04044097340909,0.163933336313345,44,0.890987472822517
"CROT","17047918","CROT",0.771094534994655,-0.292699905508741,-0.0602971732629385,4.40472167759091,0.211683092199298,44,0.891010543274468
"REEP2","16989719","REEP2",0.771107911682059,0.292682293299183,0.0247658534451354,3.67614518740909,0.0869498124644394,44,0.891010543274468
