"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"APOA1","16744723","APOA1",0.591180215799638,0.540987855522547,0.0983615151363635,4.93753469470455,0.186833112491587,44,0.811608729466981
"CDH7","16852938","CDH7",0.59131311448204,0.54079344550608,0.0668221568636373,2.84850554897727,0.126971200300332,44,0.811731434162691
"MIR4526","17119110","MIR4526",0.591331644058282,0.54076634127894,0.0540051453181825,5.10799612229545,0.102622275843405,44,0.811731434162691
"ST8SIA6-AS1","16702790","ST8SIA6-AS1",0.591507589720798,0.540508996010781,0.070590980090909,2.232393059,0.134203066670148,44,0.811917998162828
"BAIAP2","16838750","BAIAP2",0.591529616304076,-0.540476781596654,-0.0595884720909083,4.914716593,0.113292552824882,44,0.811917998162828
"PSG1","16872871","PSG1",0.591598805434432,-0.540375594514251,-0.251689089227273,3.37035547611364,0.478613360411452,44,0.811930979561992
"RASSF10","16722215","RASSF10",0.591601138754389,0.54037218219991,0.0434020201818184,2.69250437459091,0.0825340421651275,44,0.811930979561992
"CEACAM6","16862563","CEACAM6",0.591653620513625,0.540295433051084,0.0482545064090896,1.94884578679545,0.0917746497794533,44,0.811960415794308
"CLK1","16907130","CLK1",0.591788248504179,0.540098568307079,0.0776914388181815,6.17676062068182,0.147814246309374,44,0.812102577040981
"ZSCAN25","17049013","ZSCAN25",0.591841821426686,-0.540020235238481,-0.0497178295909091,4.59604443602273,0.0946059132965856,44,0.812104851126454
"DNTTIP2","16689737","DNTTIP2",0.591876262525007,-0.539969878050888,-0.0583046247272732,6.00519124490909,0.110955702041936,44,0.812104851126454
"ZGPAT","16916070","ZGPAT",0.591883022707933,-0.539959993982346,-0.0544152274090903,5.39330635261364,0.10355594102604,44,0.812104851126454
"MIR876","17093074","MIR876",0.591963898562332,-0.539841749488819,-0.0466835855909089,1.63203448611364,0.0888615515082898,44,0.812173227162289
"LINC00280","17116791","LINC00280",0.592035311917295,-0.539737346009446,-0.0659714837727279,3.65717653388636,0.125600086239188,44,0.812201569624999
"ADAM20P1","16794318","ADAM20P1",0.592065958079536,0.539692544373656,0.0858196653181813,3.82831451402273,0.163401693350941,44,0.812201569624999
"AVEN","16806823","AVEN",0.592077684507629,-0.539675401795166,-0.088464299954544,5.86461787984091,0.168442460412657,44,0.812201569624999
"G3BP1","16991261","G3BP1",0.592320854545918,0.539319953752032,0.0511299934090905,7.57270138506818,0.0974193893525899,44,0.812492546835451
"LOC100287704|LOC100287834","17058098","LOC100287704|LOC100287834",0.59243851012824,0.539147998333807,0.0646211074090903,3.40481226834091,0.123163650854825,44,0.812611333105912
"DTHD1","16965880","DTHD1",0.592577868079856,0.538944345517554,0.104699622,2.05925827872727,0.199626112214397,44,0.812717834528043
"CRISP2","17019864","CRISP2",0.592589901322321,-0.538926761624468,-0.0341963315909095,2.03122938752273,0.0652027517276968,44,0.812717834528043
"LINC02212","16994358","LINC02212",0.592651464202203,-0.538836803889265,-0.0357833318636374,2.61790477761364,0.0682401039327003,44,0.812717834528043
"ZNF845","16864925","ZNF845",0.592661362254376,-0.538822340938281,-0.0923789593181814,4.81864757138636,0.176174734603452,44,0.812717834528043
"PCDH10","16970762","PCDH10",0.592671467772323,0.538807574958143,0.0369811666363633,4.02300791981818,0.0705282437979716,44,0.812717834528043
"PAN2","16766051","PAN2",0.592830975557202,-0.538574521183657,-0.0955347534545439,5.88170975563636,0.182276943696968,44,0.812893959670805
"ZNF236-DT","16856049","ZNF236-DT",0.592933549245261,0.538424668424392,0.0414429682272726,4.52287889434091,0.0790937302608219,44,0.812992002015146
"LINC00564","16780082","LINC00564",0.593080648644836,-0.538209788242223,-0.0475039953636367,2.48987768540909,0.0906973714765752,44,0.813119053550722
"DES","16891261","DES",0.593102028151102,0.538178559541299,0.048599425818181,4.36229148936364,0.0927942147908219,44,0.813119053550722
"SPATA31F3","17125214","SPATA31F3",0.593119444160508,0.538153120650474,0.0361422229545458,2.33161998147727,0.0690120856257253,44,0.813119053550722
"ATP1A1-AS1","16691373","ATP1A1-AS1",0.593188017650234,-0.538052961446142,-0.0635060827272724,5.19746925672727,0.121284821548636,44,0.813169065252092
"CHCHD10","16933055","CHCHD10",0.593225372619077,-0.537998402668385,-0.0537114720454523,6.53641908743182,0.102589337125343,44,0.813169065252092
"NPR2","17084767","NPR2",0.59328846458612,-0.537906257426375,-0.0971847490000011,5.01561200254545,0.185655438502304,44,0.813169065252092
"TTTY11","17116838","TTTY11",0.593316989193478,0.537864599020397,0.032531684636363,1.9767947765,0.0621512327909002,44,0.813169065252092
"ANKRD19P","17086805","ANKRD19P",0.593322443413514,0.537856633580948,0.0496043860909081,6.36251024872727,0.0947697433884282,44,0.813169065252092
"TIPRL","16673466","TIPRL",0.593362801841168,0.537797694496148,0.0570510049999999,7.02787040013636,0.10900853875493,44,0.813169065252092
"SMIM34","16925321","SMIM34",0.593373482410677,-0.537782097006015,-0.0445001822727273,3.14721554381818,0.085029887489168,44,0.813169065252092
"MIR221","17110365","MIR221",0.59347525895449,0.537633473147853,0.0584602360000002,2.05325936840909,0.111735305037885,44,0.813215104942203
"DMXL2","16809263","DMXL2",0.593477835687498,-0.537629710512061,-0.0782947737727255,6.07184067929545,0.149646191230493,44,0.813215104942203
"XRN1","16959925","XRN1",0.593500322155304,-0.537596875312251,-0.069365562090911,7.30353386581818,0.132587728069073,44,0.813215104942203
