"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"SCGB1C2|SCGB1C1","1552449_a_at","SCGB1C2|SCGB1C1",0.0448991336167843,2.08199768619625,0.123037605463236,2.058139349,0.0612633737146432,33,0.293955613036533
"LINC02221","237676_at","LINC02221",0.0449336937032708,-2.08164140981398,-0.0560686919632358,2.00374513575758,0.0279227242364729,33,0.293981120243335
"RASSF3","233233_at","RASSF3",0.0449415481416946,2.08156047286522,0.119947434036765,2.26749375875758,0.0597372479159869,33,0.293981120243335
"WDR17","1552430_at","WDR17",0.0449452581727061,-2.08152224676208,-0.102031261775735,2.20290039009091,0.0508154156163782,33,0.293981120243335
"CLTRN","223784_at","CLTRN",0.0449631065407698,-2.08133838589487,-0.156456137095588,2.42247091554545,0.0779279390778415,33,0.29400578588102
"GTF2I|GTF2IP1|GTF2IP4","210891_s_at","GTF2I|GTF2IP1|GTF2IP4",0.0449847564903665,-2.08111545013739,-0.081829398029412,4.06191854512121,0.0407620919553935,33,0.294055286166292
"DNAAF4-CCPG1|CCPG1","222156_x_at","DNAAF4-CCPG1|CCPG1",0.0450161820731764,-2.08079201989137,-0.205417154794118,2.9903188929697,0.102341391449525,33,0.294168636607725
"CNNM2","1554523_a_at","CNNM2",0.0450615278983064,2.08032567352147,0.0860405650294123,2.64472409093939,0.0428760932137052,33,0.294253503843086
"MTLN","228614_at","MTLN",0.0450723851069611,-2.08021407692181,-0.185848818227942,3.29784234857576,0.0926179265952169,33,0.294253503843086
"ZGRF1","228859_at","ZGRF1",0.0450758494136297,2.08017847377699,0.124353909746323,2.49921379333333,0.0619729440293722,33,0.294253503843086
"RETREG1","218510_x_at","RETREG1",0.0450855260856058,-2.08007903807985,-0.262568673154411,2.47675006581818,0.130859830538157,33,0.294253503843086
"RAD54B|FSBP","220549_at","RAD54B|FSBP",0.0451210761331849,2.07971389357129,0.0996276063382351,2.23000188160606,0.0496614486917543,33,0.294393525473779
"MCHR1","221354_s_at","MCHR1",0.0451502791981318,2.07941413012191,0.0620293096985285,2.225392425,0.0309242544999181,33,0.294492061540594
"TAL1","206283_s_at","TAL1",0.045225874070728,-2.07863895629626,-0.104297018941176,2.36887150966667,0.0520158996896227,33,0.294680702498
"ADAP2","219358_s_at","ADAP2",0.0452312844727172,-2.07858352006139,-0.165205770606616,2.72392619227273,0.0823950297428712,33,0.294680702498
"GPATCH11","228495_at","GPATCH11",0.0452611445434028,-2.07827767179931,-0.0877416975992653,2.87374089172727,0.0437668955394559,33,0.294680702498
"RNF169","226739_at","RNF169",0.0452902412931164,2.07797981281487,0.160808691547794,2.88218395778788,0.0802253232255782,33,0.294680702498
"SLC44A3","228221_at","SLC44A3",0.0452926917831198,-2.077954735213,-0.2022326696875,2.46538554848485,0.100892414062332,33,0.294680702498
