"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PRKAR2A",2251.14332735304,0.159753356484881,0.143242772874012,1.11526294332064,0.264737760192468,0.504240606611598
"HES1",1797.67266966794,-0.291635150539479,0.216132885952456,-1.34933260736467,0.177230156630556,0.397185995265686
"USP4",1982.75905796218,-0.0740473793347451,0.104315011180781,-0.70984394764066,0.477800912818742,0.70044583461673
"ACAP2",1303.08432474292,0.0725003084427951,0.127951986299776,0.566621203307746,0.570971566133009,0.767678526742795
"ECT2",732.98165790546,0.534550867307964,0.251087984779076,2.12893845867733,0.0332593523605901,0.137550076243163
"GNAT1",0.802758634030907,1.14143052992811,0.643747704259516,1.77310229205565,0.0762117582669709,0.236228355489715
"GNAI2",12148.6871401884,0.146187171718799,0.12854887931532,1.13721078314665,0.255450180231826,0.494031154808248
"TFG",4701.75987707479,0.0637686761400231,0.0980419293803984,0.650422493141719,0.515419351875531,0.727823439819026
"USP9Y",398.850066312136,0.862528294205775,0.903693541979897,0.954447779184155,0.339857030846133,0.582385831075945
"HYAL1",1225.34483846746,1.44712318515397,0.31989808120579,4.52370073524461,6.07676311699637e-06,0.000228690999235749
"TUSC2",1469.46998835934,0.0160873428596328,0.114736124537257,0.140211663279676,0.888492756973037,0.949046992849472
"NPRL2",1077.22150360128,0.206608606048793,0.103748864742472,1.99143004178063,0.0464336292267639,0.172011697092676
"RPL24",21974.9496360655,0.0527830660342483,0.162206021082905,0.325407563060007,0.744872632240717,0.874014890661886
"CYB561D2",777.863613757753,-0.0966002108523233,0.109705888935649,-0.880538062172639,0.378567895250187,0.61927210839334
"C3orf14",545.354639749811,-0.447292755224216,0.212503338736261,-2.10487401225895,0.035302276406655,0.143103658141212
"FXR1",5053.07653081617,0.0360788702243203,0.130820372044437,0.275789387084643,0.78270983559506,0.893847633100421
"CBLB",1022.18106545115,0.486000597472228,0.167103604179971,2.90837890575242,0.00363307849505682,0.0298254087861152
"BBX",4339.11361484909,0.308216435380567,0.115338157276443,2.6722850673072,0.00753366187957206,0.0497125218327565
"IFT57",1337.10955730078,0.242413031852654,0.123195140536862,1.96771585954009,0.0491007399947212,0.178477558995601
"GNB4",569.392998181015,-0.660432408182643,0.240557452784521,-2.74542484773575,0.00604326069862919,0.0424743120505722
"HHLA2",8.61917880774415,-0.454030041479883,0.57022374427672,-0.796231384674767,0.425897558814106,0.658561336769564
"IQCG",668.677396769419,-0.0530995786380237,0.151394648839187,-0.350736165677999,0.725786290738941,0.86337992245541
"GBE1",5311.01587285462,0.559416894031512,0.182854947838875,3.05934786366541,0.00221819418831681,0.0210870343680185
"MORC1",4.18000625494922,2.18929901363691,0.783679687393378,2.79361459644157,0.00521225575099924,0.0383813743950626
"UMPS",1278.51954553235,0.316315329939489,0.135598204657122,2.33273980831335,0.0196618055134621,0.096559229628132
"NCBP2",2589.18654898071,0.311713221770905,0.0965624686383911,3.22809913796026,0.00124615778503811,0.0138538578252444
"SNX4",1270.38627780274,-0.0283392072929798,0.119132494030272,-0.237879744931545,0.811974365834628,0.910454218732486
"C3orf52",149.77571780991,-0.428803263589145,0.321455573204667,-1.33394253928872,0.182222688772806,0.404431587175599
