"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"PCNX3","16726977","PCNX3",0.936681647727824,0.0800684054105859,0.0175092319347803,6.44841026403226,0.227268605014071,31,0.981700697103912
"BBS9","17045032","BBS9",0.936687285174771,-0.080061260922753,-0.0150552819945675,6.03163421780645,0.195433945077933,31,0.981700697103912
"OR51F1","16734801","OR51F1",0.936762218687865,0.079966296070365,0.00862159619565128,2.89711439435484,0.112050610668911,31,0.981700697103912
"SUCO","16673899","SUCO",0.936882799608944,-0.0798134828368677,-0.0177906379239152,7.55358147180645,0.231658792590805,31,0.981700697103912
"NUTM2E|NUTM2D|NUTM2A|NUTM2B","16706546","NUTM2E|NUTM2D|NUTM2A|NUTM2B",0.936906525231326,0.0797834153788922,0.00817113758151855,5.09061613070968,0.106439647934168,31,0.981700697103912
"CLASRP","16863186","CLASRP",0.936924460499418,0.0797606860805893,0.011236158076084,5.52987094287097,0.1464072184067,31,0.981700697103912
"LMCD1","16937137","LMCD1",0.936926955452224,-0.0797575242395771,-0.0188816515000019,5.49742868774194,0.246037804585535,31,0.981700697103912
"MRTFA-AS1","16930481","MRTFA-AS1",0.936994209190913,-0.0796722942279851,-0.0122472407228282,3.69567954709677,0.159758679065228,31,0.981700697103912
"SELL","16696237","SELL",0.937010825736127,-0.0796512363331458,-0.0109701816032608,3.23032659287097,0.143137960842988,31,0.981700697103912
"OAF","16732386","OAF",0.937021594354118,0.0796375894469173,0.019248417440215,7.10675431496774,0.251194688980778,31,0.981700697103912
"LINC00189","16921999","LINC00189",0.937022938234699,0.0796358863710113,0.00708392807608638,2.14902368564516,0.0924482841351202,31,0.981700697103912
"LGALS8","16679033","LGALS8",0.937051367794557,-0.0795998581523627,-0.0195591391304344,6.10694235135484,0.255370644325432,31,0.981700697103912
"LOC100996643|LOC105379443|LOC286297|LOC102724904","17094240","LOC100996643|LOC105379443|LOC286297|LOC102724904",0.937138311012097,0.0794896773940557,0.0143463448043457,4.85060753122581,0.18757029449073,31,0.981700697103912
"NOG","16836311","NOG",0.937186894269709,-0.0794281095957366,-0.00920304723913334,3.77741077680645,0.120417873886283,31,0.981700697103912
"GGT1|GGT8P|GGT2P|GGT3P","17123056","GGT1|GGT8P|GGT2P|GGT3P",0.937192313383476,0.0794212421688754,0.008840485304348,4.41798273225806,0.115683910659534,31,0.981700697103912
"GLRA3","16981631","GLRA3",0.937219763316092,0.0793864560227973,0.00936888226630384,1.90502280767742,0.122652074173389,31,0.981700697103912
"SNORD94","16882414","SNORD94",0.937282167762395,0.0793073738588817,0.0333833486576056,7.63274025193548,0.437471594675493,31,0.981700697103912
"C9orf50","17099052","C9orf50",0.937325030230483,0.0792530566036424,0.00824228855978237,4.59152488777419,0.108084974425127,31,0.981700697103912
"TMEM39B","16661934","TMEM39B",0.937364866178208,0.0792025749078407,0.00850184586412883,5.320304531,0.111559730452604,31,0.981700697103912
"CCDC30","16663242","CCDC30",0.937410853725833,-0.0791442979190045,-0.0135124282445673,3.9137977666129,0.177438272223568,31,0.981700697103912
"CDK11B|CDK11A","16680365","CDK11B|CDK11A",0.937419450403618,-0.0791334039464612,-0.0104357608369554,4.16854998951613,0.137055920310496,31,0.981700697103912
"IFNG-AS1","16753767","IFNG-AS1",0.937420720107371,0.0791317949399227,0.00693450865217349,1.76927132796774,0.091074796089032,31,0.981700697103912
"SPINK8","16953321","SPINK8",0.937477292065821,0.0790601054779253,0.00623939482065161,2.10720324170968,0.0820197816438433,31,0.981700697103912
"PRMT8","16746959","PRMT8",0.937490452797623,-0.0790434279152361,-0.00692527909239127,3.80086546341935,0.09105526113986,31,0.981700697103912
"MYOCOS","16673814","MYOCOS",0.937505035735657,-0.0790249481286646,-0.00774341121739308,3.81230549954839,0.101836070706942,31,0.981700697103912
