"","PROBEID","ID","p.value","statistic","logFC","avgExpr","logFCSE","sampleSize","pFDR"
"CTAG2","17115669","CTAG2",0.939117611661427,-0.077091733928913,-0.0114690907222226,5.52190074623077,0.15572704522592,26,0.978780001178275
"GNAT3","17059109","GNAT3",0.939150633936336,-0.0770498338729588,-0.0136530834166679,2.39603243892308,0.185482058062368,26,0.978780001178275
"HAGHL","16814510","HAGHL",0.939163427976632,-0.0770336002924151,-0.00621309690277894,5.11391701015385,0.0844249477333528,26,0.978780001178275
"WSB2","16770915","WSB2",0.939231556727952,-0.0769471562127336,-0.0156953673750007,8.32880500569231,0.213511750239569,26,0.97880188396702
"PSD2","16989925","PSD2",0.939273252003972,0.0768942521207481,0.00643347856944043,4.33424400342308,0.0875779651778627,26,0.97880188396702
"ACBD5","16712734","ACBD5",0.939322466209023,-0.0768318080956798,-0.0152744281527806,7.02592900973077,0.208097458153071,26,0.97880188396702
"NUTM2E|NUTM2D|NUTM2A|NUTM2B","16706546","NUTM2E|NUTM2D|NUTM2A|NUTM2B",0.939334066065123,0.0768170899979697,0.0085636113472205,5.09074993361538,0.11669223741939,26,0.97880188396702
"LINC01960","17117847","LINC01960",0.939444664146028,0.0766767621091449,0.00911481172222128,4.09358129373077,0.124430488462467,26,0.978802246263417
"OR51T1","16721216","OR51T1",0.939478993125874,0.0766332054940127,0.00868348059722068,2.79722063196154,0.118609565575717,26,0.978802246263417
"GJB2","16777185","GJB2",0.939500043411171,-0.0766064969632069,-0.0217328051805565,3.17254050007692,0.296956648086694,26,0.978802246263417
"INSYN1","16811512","INSYN1",0.939507925897757,-0.0765964957054602,-0.0269864257638917,4.33841730826923,0.368790169485718,26,0.978802246263417
"SEPTIN14","17057934","SEPTIN14",0.939588905320576,0.0764937498971636,0.0078193228055552,1.99291086092308,0.107000562322603,26,0.978802246263417
"USP7","16823756","USP7",0.939593044414573,0.076488498282351,0.0122913934722195,8.196775268,0.168208468324561,26,0.978802246263417
"CARNS1","16727843","CARNS1",0.939596285627274,-0.0764843858861773,-0.00870575002778118,3.92271519196154,0.119145125214541,26,0.978802246263417
"SLC13A2","16832479","SLC13A2",0.939723036268219,-0.0763235678551522,-0.00957404926388916,3.98266231307692,0.131304576425342,26,0.978895310782406
"ACOXL","16884304","ACOXL",0.939985727471646,0.0759902783618389,0.00875694751388822,2.819831534,0.120625070563677,26,0.979123546719455
"MIR124-2","17069465","MIR124-2",0.940016984025607,-0.0759506221888764,-0.00738575565277788,4.69860605757692,0.101790317421755,26,0.979123546719455
"GUSBP11","16933030","GUSBP11",0.940206957571446,0.075709599438049,0.0136226569305515,4.57033717069231,0.188344845950664,26,0.979169684690964
"ABCC11","16826320","ABCC11",0.940250539674579,0.0756543067072351,0.00678577672222147,4.16082917657692,0.0938877170364608,26,0.979169684690964
"XKR8","16661527","XKR8",0.940264286885155,0.0756368656341656,0.00798705295833013,4.89083273742308,0.110534005869535,26,0.979169684690964
"RFX2","16867613","RFX2",0.940269050175759,0.0756308224574398,0.00833265281944051,5.09757058073077,0.115326027636339,26,0.979169684690964
"SNORA70B","16925135","SNORA70B",0.940279818895977,-0.0756171602154073,-0.0115229685000013,3.85835083423077,0.159509619940441,26,0.979169684690964
"ARHGEF17","16728802","ARHGEF17",0.940363264230642,0.0755112938732179,0.0119806150416659,4.99000263442308,0.166077221702132,26,0.979169684690964
"MIR335","17051657","MIR335",0.940370291120505,-0.0755023789616043,-0.00708682156944596,2.56254973346154,0.0982502652720529,26,0.979169684690964
"LINC01364","16689246","LINC01364",0.940389888880644,-0.0754775156049957,-0.0094292929444455,2.32436529053846,0.130768879010577,26,0.979169684690964
"BOD1L1","16974412","BOD1L1",0.940398098032203,-0.0754671008035359,-0.0152785964305551,6.61892728846154,0.211918398129549,26,0.979169684690964
"TM9SF4","16912492","TM9SF4",0.9404463346479,0.0754059040568347,0.0133128800555538,7.85613990573077,0.184803221293591,26,0.9791809423267
"CELP","17090727","CELP",0.940508371251192,-0.0753271999959402,-0.00852677625000098,2.41587239853846,0.118488420853243,26,0.97919100282207
"LINC02295","16788194","LINC02295",0.94054847407511,0.0752763229498685,0.00746363891666624,2.95161703511538,0.103785120240305,26,0.97919100282207
"CXADR","16921664","CXADR",0.940582652992097,-0.0752329615161902,-0.0142977711250007,3.01119246530769,0.198931268437131,26,0.97919100282207
"ARID3B","16803018","ARID3B",0.940605697673409,0.0752037257276029,0.0134222219027755,4.72374349065385,0.186821961151886,26,0.97919100282207
"DEFA4","17074305","DEFA4",0.940923955740453,-0.0747999723127978,-0.00822987911111239,3.79504427861538,0.115168812236411,26,0.979463771581988
"SCAF11","16763481","SCAF11",0.940954909140452,0.0747607044128769,0.00954091441666449,6.97668806480769,0.133585550505635,26,0.979463771581988
"MIOX","16931716","MIOX",0.941011533039598,-0.0746888708814108,-0.00432746576389054,4.17437999846154,0.0606485770495959,26,0.979463771581988
"RD3","16698975","RD3",0.941071858581884,0.0746123418554197,0.00807100386111115,2.92522410419231,0.113229542553255,26,0.979463771581988
"CFAP65","16908502","CFAP65",0.941097753738354,-0.0745794913804433,-0.00529763680555728,3.62056367446154,0.0743542217931702,26,0.979463771581988
"LINC02817","16699524","LINC02817",0.941145708866635,0.074518655948207,0.00687296234722234,2.45600661342308,0.096543229088502,26,0.979463771581988
"ABHD8","16870165","ABHD8",0.94115915228945,-0.0745016017976728,-0.0118190816805583,5.59036807703846,0.166058454965485,26,0.979463771581988
"LOC101928651","16996626","LOC101928651",0.941167202313972,-0.0744913896524983,-0.00633701293055644,2.20838623642308,0.0890474292587565,26,0.979463771581988
"ABHD17A","16866821","ABHD17A",0.941339065380951,-0.0742733685604797,-0.00903229951389228,5.65550791680769,0.12729404242889,26,0.979496189633947
"ZNF732","16973296","ZNF732",0.941348014406835,-0.074262016155428,-0.0211989034027806,2.98410536076923,0.298806148177005,26,0.979496189633947
"ADGRG3","16819563","ADGRG3",0.941369577373824,0.074234662209442,0.0114389077777757,4.16253174365385,0.161294920592753,26,0.979496189633947
"CTNNBL1","16913456","CTNNBL1",0.941408000853478,-0.0741859198118767,-0.0126348933055569,5.54934015807692,0.178276033261038,26,0.979496189633947
"LINC01239","17084025","LINC01239",0.941415007868417,-0.0741770310294471,-0.0183530216805559,3.04272825646154,0.258988810054491,26,0.979496189633947
"CSPP1","17069677","CSPP1",0.941422973579149,-0.0741669260962476,-0.0120634688611121,6.02920163553846,0.170256929519386,26,0.979496189633947
"ZBBX","16961200","ZBBX",0.941482034434844,-0.0740920044638629,-0.00688714884722308,1.7067495595,0.097299586374822,26,0.979518687329142
"OXSR1","16939142","OXSR1",0.941657243340972,-0.0738697457889192,-0.0129372000000014,6.64229375857692,0.183322831593072,26,0.979662018957939
"SMG5","16694472","SMG5",0.94178773270823,0.073704217884328,0.0133283583888888,5.91992481446154,0.18928978987097,26,0.979758816643265
"LRRC46","16835322","LRRC46",0.941892550241272,-0.073571256639419,-0.00960796440277889,3.97977609253846,0.136699233794559,26,0.97977164150862
"MIR4638","17004087","MIR4638",0.941934761056977,0.0735177125184314,0.0105720804583305,5.9061598625,0.150525938314688,26,0.97977164150862
"ZBP1","16920651","ZBP1",0.941936686358773,0.0735152702919403,0.00851184880555556,3.40004891884615,0.121196258145755,26,0.97977164150862
